Date,Open,High,Low,Close,Adj Close,Volume
2023-04-19,1318.690430,1317.789673,1320.134155,1317.437988,1317.437988,42594104896502
2023-04-20,1317.478394,1330.559937,1331.373657,1328.502197,1328.502197,56830667013942
2023-04-21,1328.196045,1328.342285,1326.865356,1324.242310,1324.242310,48035862738226
2023-04-22,1324.273193,1331.178711,1330.631958,1330.584839,1330.584839,45969817737058
2023-04-23,1330.581421,1331.524292,1329.846191,1330.616089,1330.616089,27055845909813
2023-04-24,1330.554321,1331.397461,1329.686768,1330.410889,1330.410889,26450382390509
2023-04-25,1330.416504,1330.159302,1334.824097,1333.263184,1333.263184,34020322690795
2023-04-26,1333.243896,1341.783447,1342.199341,1341.566284,1341.566284,34782960303990
2023-04-27,1341.459473,1339.529053,1337.570313,1338.582886,1338.582886,58431483104831
2023-04-28,1338.808594,1341.759155,1340.197266,1339.691650,1339.691650,47975992972779
2023-04-29,1340.050781,1339.454590,1339.183228,1339.091187,1339.091187,36288105410489
2023-04-30,1339.178955,1339.418823,1338.485718,1338.963867,1338.963867,22151878428294
2023-05-01,1338.764771,1339.365112,1338.357910,1338.756348,1338.756348,28756179860741
2023-05-02,1338.912598,1341.153076,1342.865601,1343.556396,1343.556396,39122428158667
2023-05-03,1343.684204,1343.593140,1341.441650,1343.207153,1343.207153,33425608570431
2023-05-04,1343.222412,1341.239014,1335.080688,1335.866821,1335.866821,39781840624514
2023-05-05,1335.797607,1325.280518,1323.204590,1321.746094,1321.746094,29774524726252
2023-05-06,1321.685547,1319.655884,1323.412598,1319.296997,1319.296997,38714981176139
2023-05-07,1319.293945,1320.747070,1318.858765,1320.371948,1320.371948,35739603305722
2023-05-08,1320.339722,1320.698120,1319.232666,1319.991821,1319.991821,24679674053375
2023-05-09,1320.029297,1325.834717,1322.112549,1324.384888,1324.384888,43479592637034
2023-05-10,1324.396240,1326.183838,1325.298096,1327.360718,1327.360718,29348662104617
2023-05-11,1327.353394,1321.542725,1319.399536,1319.500122,1319.500122,41799273760818
2023-05-12,1319.467529,1330.570190,1331.545166,1329.989502,1329.989502,34729738708383
2023-05-13,1329.674316,1337.831299,1341.592773,1343.325439,1343.325439,38698826522887
2023-05-14,1343.233887,1343.932495,1342.869629,1343.213623,1343.213623,21016866099550
2023-05-15,1343.263306,1343.540649,1342.657471,1343.211548,1343.211548,19969598157374
2023-05-16,1343.133545,1339.252319,1334.780884,1336.099487,1336.099487,28845180182541
2023-05-17,1336.243408,1339.983276,1342.352295,1342.953369,1342.953369,26643086149475
2023-05-18,1342.900391,1339.754272,1336.376709,1335.023071,1335.023071,32429233513385
2023-05-19,1334.968994,1336.905396,1333.040283,1335.192627,1335.192627,30031168888606
2023-05-20,1335.112549,1327.161377,1326.031372,1325.534180,1325.534180,23077162937717
2023-05-21,1325.537109,1325.971313,1325.229858,1325.733398,1325.733398,15705545366119
2023-05-22,1325.835938,1326.139160,1325.363647,1325.450684,1325.450684,17933540189492
2023-05-23,1325.395630,1316.846069,1316.657104,1314.443604,1314.443604,22625487629071
2023-05-24,1314.502075,1312.505493,1318.496582,1320.327515,1320.327515,28279749464025
2023-05-25,1320.270386,1319.932861,1319.361084,1318.869629,1318.869629,33375062790255
2023-05-26,1318.752686,1326.777588,1327.583130,1331.276733,1331.276733,27897146015737
2023-05-27,1331.212036,1324.850586,1326.815063,1323.885864,1323.885864,25293003841125
2023-05-28,1323.936523,1324.626709,1323.483887,1324.097656,1324.097656,16455001843816
2023-05-29,1324.161865,1324.521484,1323.295776,1323.661621,1323.661621,28112844934500
2023-05-30,1323.900024,1326.313599,1323.627075,1325.143188,1325.143188,29561795706618
2023-05-31,1325.174072,1320.769409,1321.917236,1320.316650,1320.316650,28376913825627
2023-06-01,1320.383545,1324.446777,1322.733154,1322.531006,1322.531006,30638783509791
2023-06-02,1322.373047,1322.262817,1315.181641,1313.613281,1313.613281,27215808144619
2023-06-03,1313.656860,1305.153442,1307.300415,1306.750732,1306.750732,27258087622308
2023-06-04,1306.762207,1306.781738,1306.283203,1306.357544,1306.357544,17526960727907
2023-06-05,1306.389526,1307.009033,1306.008911,1306.336792,1306.336792,19467240072517
2023-06-06,1306.405762,1303.649048,1304.708862,1301.195557,1301.195557,43976535382621
2023-06-07,1301.256592,1301.946045,1301.152466,1299.776489,1299.776489,40170354781717
2023-06-08,1299.771484,1305.051514,1308.443481,1308.748169,1308.748169,36744857670132
2023-06-09,1308.868286,1297.914551,1301.304077,1297.082886,1297.082886,23578517686551
2023-06-10,1296.942627,1290.828003,1287.182983,1287.614624,1287.614624,23410215423615
2023-06-11,1287.695557,1289.121094,1287.321167,1288.245728,1288.245728,50985561039741
2023-06-12,1288.298828,1288.904419,1287.781006,1288.095459,1288.095459,22583400771345
2023-06-13,1287.927856,1287.324463,1286.905884,1285.000244,1285.000244,27090203048914
2023-06-14,1284.894897,1270.623413,1267.138184,1267.769531,1267.769531,30058754202373
2023-06-15,1267.710938,1274.661865,1273.560181,1274.132446,1274.132446,29336625854813
2023-06-16,1274.100220,1281.474609,1275.606079,1269.336914,1269.336914,33949543701535
2023-06-17,1269.284912,1276.826172,1277.241699,1276.444092,1276.444092,28922418405124
2023-06-18,1276.477051,1277.450806,1276.026489,1276.922363,1276.922363,21440102219927
2023-06-19,1276.930420,1277.774048,1276.588623,1276.936523,1276.936523,18233540400979
2023-06-20,1276.861084,1281.555664,1281.655762,1283.412476,1283.412476,23079137586045
2023-06-21,1283.303467,1290.252563,1285.274536,1289.186157,1289.186157,35426811904595
2023-06-22,1289.051514,1287.712646,1290.347290,1288.798462,1288.798462,53608397334560
