,index,time,open,high,low,close,volume,currency_volume
146,146,2023-06-30 18:26:00,30399,30400,30374.5,30374.5,86.093,2615671.239
147,147,2023-06-30 18:27:00,30374.5,30390.5,30367.5,30381.5,172.498,5239752.191
148,148,2023-06-30 18:28:00,30381.5,30395,30374.5,30394,67.069,2037836.223
149,149,2023-06-30 18:29:00,30394,30405.5,30384.5,30403,61.053,1855502.026
150,150,2023-06-30 18:30:00,30403,30424,30403,30415,52.128,1585526.0875
151,151,2023-06-30 18:31:00,30415,30415,30400,30400,100.548,3057269.816
152,152,2023-06-30 18:32:00,30400,30400,30375,30383.5,130.823,3975226.678
153,153,2023-06-30 18:33:00,30383.5,30395.5,30375.5,30395.5,49.875,1515465.601
154,154,2023-06-30 18:34:00,30395.5,30414.5,30395.5,30403.5,106.605,3241890.7255
155,155,2023-06-30 18:35:00,30403.5,30403.5,30352.5,30353.5,153.987,4678368.397
156,156,2023-06-30 18:36:00,30353.5,30354.5,30310.5,30334,318.442,9658000.583
157,157,2023-06-30 18:37:00,30334,30373.5,30265,30311,360.471,10925526.5115
158,158,2023-06-30 18:38:00,30311,30327,30280,30298,150.005,4545147.044
159,159,2023-06-30 18:39:00,30298,30347,30298,30346.5,55.282,1676794.5725
160,160,2023-06-30 18:40:00,30346.5,30369.5,30324,30324.5,84.691,2570229.118
161,161,2023-06-30 18:41:00,30324.5,30340.5,30322,30322.5,73.282,2222707.585
162,162,2023-06-30 18:42:00,30322.5,30322.5,30300.5,30315.5,50.284,1524235.703
163,163,2023-06-30 18:43:00,30315.5,30355,30315.5,30349.5,97.224,2950101.1215
164,164,2023-06-30 18:44:00,30349.5,30354.5,30310,30310.5,88.382,2681104.7575
165,165,2023-06-30 18:45:00,30310.5,30352.5,30305.5,30344.5,72.749,2207179.1105
166,166,2023-06-30 18:46:00,30344.5,30352.5,30298.5,30298.5,122.557,3718313.992
167,167,2023-06-30 18:47:00,30298.5,30316,30298,30316,129.967,3938654.4045
168,168,2023-06-30 18:48:00,30316,30344.5,30311,30334,37.643,1141649.089
169,169,2023-06-30 18:49:00,30334,30358.5,30333.5,30350,56.126,1703041.497
170,170,2023-06-30 18:50:00,30350,30359.5,30339,30340,29.823,905028.5215
171,171,2023-06-30 18:51:00,30340,30361.5,30330,30356,69.398,2106192.6105
172,172,2023-06-30 18:52:00,30356,30363.5,30356,30361,42.434,1288286.848
173,173,2023-06-30 18:53:00,30361,30361.5,30356.5,30356.5,35.354,1073283.5215
174,174,2023-06-30 18:54:00,30356.5,30357,30335.5,30335.5,41.528,1260236.7815
175,175,2023-06-30 18:55:00,30335.5,30347.5,30313,30313,51.606,1565232.089
176,176,2023-06-30 18:56:00,30313,30321,30305,30317.5,34.571,1048124.039
177,177,2023-06-30 18:57:00,30317.5,30317.5,30300,30300,56.318,1706955.729
178,178,2023-06-30 18:58:00,30300,30320.5,30290.5,30316,113.784,3447349.655
179,179,2023-06-30 18:59:00,30316,30344.5,30316,30338,177.765,5391988.177
180,180,2023-06-30 19:00:00,30338,30348.5,30319,30344,41.35,1254337.7935
181,181,2023-06-30 19:01:00,30344,30359.5,30341,30341,43.931,1333247.6255
182,182,2023-06-30 19:02:00,30341,30341,30314.5,30317,82.349,2497171.3725
183,183,2023-06-30 19:03:00,30317,30333,30316.5,30332.5,71.162,2158063.772
184,184,2023-06-30 19:04:00,30332.5,30346,30332.5,30337.5,38.026,1153650.862
185,185,2023-06-30 19:05:00,30337.5,30337.5,30311.5,30311.5,51.091,1549738.5405
186,186,2023-06-30 19:06:00,30311.5,30334.5,30311.5,30334,29.05,881035.333
187,187,2023-06-30 19:07:00,30334,30410,30334,30410,149.871,4553205.642
188,188,2023-06-30 19:08:00,30410,30416.5,30352.5,30363,167.785,5098913.0555
189,189,2023-06-30 19:09:00,30363,30380,30362,30374.5,69.945,2124457.0325
190,190,2023-06-30 19:10:00,30374.5,30382.5,30358.5,30382.5,55.684,1690921.341
191,191,2023-06-30 19:11:00,30382.5,30392.5,30379.5,30381.5,57.12,1735676.872
192,192,2023-06-30 19:12:00,30381.5,30396,30381,30394.5,48.529,1474884.435
193,193,2023-06-30 19:13:00,30394.5,30396,30383,30384.5,27.796,844789.801
194,194,2023-06-30 19:14:00,30384.5,30405,30384,30396,28.472,865470.809
195,195,2023-06-30 19:15:00,30396,30399,30380.5,30387,59.997,1823101.9035
196,196,2023-06-30 19:16:00,30387,30425,30386.5,30397,166.966,5078135.356
197,197,2023-06-30 19:17:00,30397,30406.5,30393,30395,74.715,2271338.9305
198,198,2023-06-30 19:18:00,30395,30396.5,30364,30364.5,75.775,2302428.5075
199,199,2023-06-30 19:19:00,30364.5,30372.5,30363,30372.5,56.935,1728893.1895
200,200,2023-06-30 19:20:00,30372.5,30372.5,30370,30370,45.543,1383178.035
201,201,2023-06-30 19:21:00,30370,30396,30370,30396,69.96,2125674.1485
202,202,2023-06-30 19:22:00,30396,30418.5,30396,30413,60.059,1826260.6955
203,203,2023-06-30 19:23:00,30413,30413,30403,30403,67.863,2063741.691
204,204,2023-06-30 19:24:00,30403,30422.5,30403,30407.5,62.177,1890854.6995
205,205,2023-06-30 19:25:00,30407.5,30407.5,30400,30401.5,54.168,1646853.6615
206,206,2023-06-30 19:26:00,30401.5,30412.5,30401.5,30412.5,47.077,1431512.257
207,207,2023-06-30 19:27:00,30412.5,30412.5,30400,30400,21.783,662335.421
208,208,2023-06-30 19:28:00,30400,30406,30396,30396,27.777,844507.123
209,209,2023-06-30 19:29:00,30396,30396.5,30375,30388.5,45.443,1380757.4475
210,210,2023-06-30 19:30:00,30388.5,30400,30370.5,30371.5,57.355,1742715.8205
211,211,2023-06-30 19:31:00,30371.5,30387,30363,30379,109.829,3335972.496
212,212,2023-06-30 19:32:00,30379,30381.5,30371.5,30371.5,57.488,1746306.7335
213,213,2023-06-30 19:33:00,30371.5,30372,30350,30362.5,123.176,3739202.6355
214,214,2023-06-30 19:34:00,30362.5,30383,30362.5,30377.5,57.934,1759769.0165
215,215,2023-06-30 19:35:00,30377.5,30389,30376.5,30384,61.025,1854114.138
216,216,2023-06-30 19:36:00,30384,30399,30384,30398.5,90.668,2755695.7755
217,217,2023-06-30 19:37:00,30398.5,30416.5,30398.5,30413.5,66.111,2010581.473
218,218,2023-06-30 19:38:00,30413.5,30413.5,30394.5,30397,52.108,1584271.294
219,219,2023-06-30 19:39:00,30397,30397.5,30372,30379,54.589,1658665.6755
220,220,2023-06-30 19:40:00,30379,30379,30364,30371.5,51.682,1569607.627
221,221,2023-06-30 19:41:00,30371.5,30377.5,30371.5,30377,77.732,2361006.1455
222,222,2023-06-30 19:42:00,30377,30388,30370.5,30385.5,59.628,1811445.45
223,223,2023-06-30 19:43:00,30385.5,30387,30383,30386,85.051,2584317.2625
224,224,2023-06-30 19:44:00,30386,30386,30373,30377,89.287,2712119.385
225,225,2023-06-30 19:45:00,30377,30382.5,30376.5,30382,68.357,2076643.4275
226,226,2023-06-30 19:46:00,30382,30388,30374,30377.5,32.625,991149.8995
